id,phase,size,sync_component,diac_component,lineage_size,meta,label,x,y,z
48_1626040800,1626040800,93,0,9,68.90455000556236,-0.19599699497651754,211,8.0911875,-0.49807674,7.8244615
446_1598824800,1598824800,226,0,1,0,0.9674017604145775,na,-5.6643357,1.8315089,-6.064073
0_1621202400,1621202400,50,0,7,39.17978458989229,1.3667678581388527,720,5.8837886,-0.8595252,5.6492004
61_1626645600,1626645600,74,0,9,44.71260504201681,-0.43738910429034017,211,9.307727,-0.6625358,9.04974
124_1619388000,1619388000,98,0,-1,64.65882352941176,0.853721681309005,na,4.951501,-0.7664121,4.7126093
127_1599429600,1599429600,227,-1,0,140.77640369580666,-0.5423337773458634,146,-6.2790422,1.9080647,-6.68272
162_1600034400,1600034400,164,0,-1,100.31916843526915,-0.49713036728218096,146,-5.966858,2.1763682,-6.3908777
74_1606086000,1606086000,47,0,-1,33.739811912225704,1.2020215422795777,1921,-7.268168,-1.2734021,-7.4378147
108_1616367600,1616367600,79,0,-1,55.50684154394246,0.4856631065402609,na,2.2030861,-0.7577059,1.9708414
189_1627855200,1627855200,66,0,-1,48.807017543859644,-0.7319949816876418,211,9.180149,-0.95585185,8.943836
270_1615158000,1615158000,56,0,-1,37.3627355425601,0.05790191999963363,na,1.9515889,0.06991445,1.6598113
214_1606086000,1606086000,12,0,-1,9.598747435482128,-0.038392273120044,na,-7.2936707,-1.0937806,-7.4763145
119_1605481200,1605481200,20,0,-1,16.20190476190476,0.3678547623245971,1921,-7.91561,-0.50523406,-8.139415
149_1604876400,1604876400,9,-1,-1,9.0,0.38676065206169913,na,-7.261962,-0.7281961,-7.4712815
213_1598824800,1598824800,237,0,0,0,-0.31994319374809693,na,-5.6820893,1.8177679,-6.08078
0_1615762800,1615762800,75,0,-1,58.26500135758892,0.8963668910266237,na,2.0637116,-0.14914997,1.7875713
211_1619992800,1619992800,62,0,-1,43.276218104685256,0.3406592412243317,na,5.091124,-0.50986034,4.8332014
41_1613343600,1613343600,54,0,-1,41.21509433962264,0.21488715984738305,na,1.620226,0.053616308,1.3305118
371_1614553200,1614553200,37,0,-1,28.331412103746395,0.17580577390871535,1036,1.6488377,-0.02164364,1.3645219
