source,target,weight,phase,type,diac_component
12_20-12h,6_20-12h,2.0,20-12h,sync,-1
2_20-14h,4_20-14h,2.0,20-14h,sync,-1
1_20-14h,6_20-14h,15.0,20-14h,sync,-1
7_20-14h,8_20-14h,6.0,20-14h,sync,-1
5_20-14h,7_20-14h,5.0,20-14h,sync,-1
0_20-14h,8_20-14h,2.0,20-14h,sync,-1
2_20-15h,4_20-15h,25.0,20-15h,sync,-1
1_20-16h,7_20-16h,1.0,20-16h,sync,-1
12_20-16h,1_20-16h,3.0,20-16h,sync,-1
3_21-05h,5_21-05h,2.0,21-05h,sync,-1
1_21-05h,5_21-05h,1.0,21-05h,sync,-1
1_21-06h,4_21-06h,3.0,21-06h,sync,-1
2_21-06h,7_21-06h,17.0,21-06h,sync,-1
1_21-06h,7_21-06h,6.0,21-06h,sync,-1
1_21-08h,2_21-08h,15.0,21-08h,sync,-1
1_21-08h,3_21-08h,25.0,21-08h,sync,-1
2_21-08h,3_21-08h,41.0,21-08h,sync,-1
4_21-08h,5_21-08h,1.0,21-08h,sync,-1
4_21-10h,7_21-10h,1.0,21-10h,sync,-1
7_21-10h,9_21-10h,3.0,21-10h,sync,-1
12_21-10h,7_21-10h,3.0,21-10h,sync,-1
14_21-10h,4_21-10h,1.0,21-10h,sync,-1
1_21-11h,8_21-11h,1.0,21-11h,sync,-1
4_21-11h,5_21-11h,63.0,21-11h,sync,-1
0_21-11h,8_21-11h,3.0,21-11h,sync,-1
4_21-11h,9_21-11h,17.0,21-11h,sync,-1
0_21-11h,10_21-11h,6.0,21-11h,sync,-1
1_21-12h,3_21-12h,6.0,21-12h,sync,-1
11_21-12h,1_21-12h,17.0,21-12h,sync,-1
0_21-12h,14_21-12h,5.0,21-12h,sync,-1
1_21-14h,5_21-14h,1.0,21-14h,sync,-1
1_21-14h,3_21-14h,2.0,21-14h,sync,-1
1_21-15h,6_21-15h,1.0,21-15h,sync,-1
4_22-06h,5_22-06h,4.0,22-06h,sync,-1
3_22-06h,5_22-06h,1.0,22-06h,sync,-1
14_22-06h,9_22-06h,8.0,22-06h,sync,-1
23_22-06h,3_22-06h,1.0,22-06h,sync,-1
11_22-08h,6_22-08h,21.0,22-08h,sync,-1
11_22-08h,16_22-08h,17.0,22-08h,sync,-1
11_22-08h,20_22-08h,12.0,22-08h,sync,-1
14_22-08h,6_22-08h,6.0,22-08h,sync,-1
14_22-08h,16_22-08h,5.0,22-08h,sync,-1
16_22-08h,22_22-08h,11.0,22-08h,sync,-1
0_22-08h,18_22-08h,1.0,22-08h,sync,-1
19_22-08h,20_22-08h,42.0,22-08h,sync,-1
1_22-10h,5_22-10h,24.0,22-10h,sync,-1
0_22-10h,9_22-10h,2.0,22-10h,sync,-1
25_22-11h,7_22-11h,19.0,22-11h,sync,-1
17_22-11h,7_22-11h,12.0,22-11h,sync,-1
16_22-11h,7_22-11h,14.0,22-11h,sync,-1
12_22-11h,21_22-11h,19.0,22-11h,sync,-1
0_22-12h,10_22-12h,1.0,22-12h,sync,-1
0_22-12h,18_22-12h,3.0,22-12h,sync,-1
10_22-12h,18_22-12h,3.0,22-12h,sync,-1
2_22-13h,3_22-13h,45.0,22-13h,sync,-1
2_22-13h,6_22-13h,79.0,22-13h,sync,-1
4_22-14h,6_22-14h,38.0,22-14h,sync,-1
12_22-14h,4_22-14h,17.0,22-14h,sync,-1
12_22-14h,6_22-14h,23.0,22-14h,sync,-1
0_22-15h,2_22-15h,32.0,22-15h,sync,-1
1_23-06h,4_23-06h,1.0,23-06h,sync,-1
3_23-06h,5_23-06h,8.0,23-06h,sync,-1
1_23-06h,7_23-06h,3.0,23-06h,sync,-1
2_23-06h,7_23-06h,7.0,23-06h,sync,-1
0_23-08h,1_23-08h,12.0,23-08h,sync,-1
0_23-08h,2_23-08h,25.0,23-08h,sync,-1
1_23-08h,2_23-08h,24.0,23-08h,sync,-1
2_23-08h,4_23-08h,66.0,23-08h,sync,-1
0_23-08h,7_23-08h,28.0,23-08h,sync,-1
10_23-09h,11_23-09h,1.0,23-09h,sync,-1
0_23-10h,2_23-10h,33.0,23-10h,sync,-1
4_23-10h,9_23-10h,22.0,23-10h,sync,-1
2_23-11h,3_23-11h,9.0,23-11h,sync,-1
1_23-11h,5_23-11h,42.0,23-11h,sync,-1
17_23-12h,18_23-12h,5.0,23-12h,sync,-1
10_23-13h,3_23-13h,55.0,23-13h,sync,-1
15_23-13h,2_23-13h,2.0,23-13h,sync,-1
15_23-13h,5_23-13h,4.0,23-13h,sync,-1
4_23-14h,7_23-14h,10.0,23-14h,sync,-1
1_23-15h,2_23-15h,21.0,23-15h,sync,-1
0_23-16h,2_23-16h,32.0,23-16h,sync,-1
1_26-08h,2_26-08h,24.0,26-08h,sync,-1
6_26-08h,7_26-08h,91.0,26-08h,sync,-1
4_26-08h,9_26-08h,21.0,26-08h,sync,-1
19_26-10h,3_26-10h,4.0,26-10h,sync,-1
10_26-10h,3_26-10h,2.0,26-10h,sync,-1
10_26-10h,19_26-10h,2.0,26-10h,sync,-1
12_26-10h,23_26-10h,22.0,26-10h,sync,-1
0_26-11h,6_26-11h,13.0,26-11h,sync,-1
3_26-11h,6_26-11h,11.0,26-11h,sync,-1
6_26-11h,7_26-11h,6.0,26-11h,sync,-1
6_26-11h,9_26-11h,3.0,26-11h,sync,-1
0_26-11h,13_26-11h,3.0,26-11h,sync,-1
2_26-12h,9_26-12h,130.0,26-12h,sync,-1
0_26-12h,13_26-12h,15.0,26-12h,sync,-1
10_26-12h,13_26-12h,19.0,26-12h,sync,-1
10_26-14h,11_26-14h,40.0,26-14h,sync,-1
11_26-14h,2_26-14h,11.0,26-14h,sync,-1
22_26-14h,27_26-14h,1.0,26-14h,sync,-1
22_26-14h,6_26-14h,1.0,26-14h,sync,-1
10_26-16h,6_26-16h,1.0,26-16h,sync,-1
16_26-16h,9_26-16h,3.0,26-16h,sync,-1
10_26-16h,16_26-16h,2.0,26-16h,sync,-1
0_27-08h,1_27-08h,29.0,27-08h,sync,-1
0_27-08h,6_27-08h,24.0,27-08h,sync,-1
7_27-08h,8_27-08h,6.0,27-08h,sync,-1
3_27-08h,8_27-08h,7.0,27-08h,sync,-1
1_27-09h,3_27-09h,9.0,27-09h,sync,-1
10_27-09h,1_27-09h,5.0,27-09h,sync,-1
20_27-10h,5_27-10h,8.0,27-10h,sync,-1
12_27-10h,20_27-10h,9.0,27-10h,sync,-1
14_27-10h,22_27-10h,5.0,27-10h,sync,-1
14_27-10h,15_27-10h,2.0,27-10h,sync,-1
18_27-10h,20_27-10h,8.0,27-10h,sync,-1
2_27-11h,8_27-11h,2.0,27-11h,sync,-1
1_27-11h,3_27-11h,5.0,27-11h,sync,-1
4_27-11h,5_27-11h,19.0,27-11h,sync,-1
10_27-11h,2_27-11h,3.0,27-11h,sync,-1
0_27-12h,11_27-12h,1.0,27-12h,sync,-1
21_27-12h,2_27-12h,9.0,27-12h,sync,-1
1_27-14h,4_27-14h,36.0,27-14h,sync,-1
6_19-06h,21_19-07h,0.42857142857142855,19-06h,diac,0
0_19-06h,0_19-07h,0.6,19-06h,diac,1
2_19-06h,9_19-07h,0.2222222222222222,19-06h,diac,1
4_19-06h,2_19-07h,0.5,19-06h,diac,2
10_19-06h,11_19-07h,0.36363636363636365,19-06h,diac,3
10_19-06h,10_19-07h,0.25,19-06h,diac,3
10_19-06h,20_19-07h,0.25,19-06h,diac,3
12_19-06h,16_19-07h,1.0,19-06h,diac,4
13_19-06h,6_19-07h,1.0,19-06h,diac,5
14_19-06h,15_19-07h,1.0,19-06h,diac,6
15_19-06h,9_19-07h,0.5,19-06h,diac,1
1000_19-06h,1000_19-07h,0.8732394366197183,19-06h,diac,7
0_19-07h,0_19-08h,0.2857142857142857,19-07h,diac,1
9_19-07h,0_19-08h,0.22857142857142856,19-07h,diac,1
1000_19-07h,1000_19-08h,0.49230769230769234,19-07h,diac,7
0_19-08h,0_19-09h,0.2571428571428571,19-08h,diac,1
0_19-08h,2_19-09h,0.34285714285714286,19-08h,diac,1
1_19-08h,5_19-09h,0.2857142857142857,19-08h,diac,8
2_19-08h,11_19-09h,0.25,19-08h,diac,9
4_19-08h,6_19-09h,0.21428571428571427,19-08h,diac,10
4_19-08h,9_19-09h,0.25,19-08h,diac,10
6_19-08h,3_19-09h,0.3076923076923077,19-08h,diac,11
7_19-08h,4_19-09h,0.5,19-08h,diac,12
1000_19-08h,1000_19-09h,0.5904761904761905,19-08h,diac,7
0_19-09h,11_19-10h,0.4375,19-09h,diac,1
2_19-09h,8_19-10h,0.42857142857142855,19-09h,diac,1
3_19-09h,4_19-10h,0.5,19-09h,diac,11
4_19-09h,5_19-10h,0.25,19-09h,diac,12
5_19-09h,2_19-10h,0.2857142857142857,19-09h,diac,8
5_19-09h,3_19-10h,0.23529411764705882,19-09h,diac,8
6_19-09h,1_19-10h,0.45454545454545453,19-09h,diac,10
7_19-09h,14_19-10h,0.25,19-09h,diac,13
10_19-09h,10_19-10h,0.6,19-09h,diac,14
12_19-09h,4_19-10h,0.4,19-09h,diac,11
18_19-09h,3_19-10h,0.2222222222222222,19-09h,diac,8
1000_19-09h,1000_19-10h,0.5887850467289719,19-09h,diac,7
11_19-10h,2_19-11h,0.4,19-10h,diac,1
1_19-10h,15_19-11h,0.35714285714285715,19-10h,diac,10
2_19-10h,4_19-11h,0.25,19-10h,diac,8
3_19-10h,4_19-11h,0.26666666666666666,19-10h,diac,8
5_19-10h,12_19-11h,0.26666666666666666,19-10h,diac,12
8_19-10h,1_19-11h,0.45454545454545453,19-10h,diac,1
12_19-10h,3_19-11h,0.5,19-10h,diac,15
14_19-10h,22_19-11h,0.3333333333333333,19-10h,diac,13
15_19-10h,19_19-11h,0.4,19-10h,diac,15
1000_19-10h,1000_19-11h,0.43119266055045874,19-10h,diac,7
2_19-11h,1_19-12h,0.25,19-11h,diac,1
1_19-11h,0_19-12h,0.25,19-11h,diac,1
1_19-11h,1_19-12h,0.25,19-11h,diac,1
3_19-11h,5_19-12h,0.21052631578947367,19-11h,diac,15
4_19-11h,8_19-12h,0.3157894736842105,19-11h,diac,8
12_19-11h,3_19-12h,0.3181818181818182,19-11h,diac,12
15_19-11h,9_19-12h,0.21052631578947367,19-11h,diac,10
17_19-11h,11_19-12h,0.3333333333333333,19-11h,diac,16
19_19-11h,5_19-12h,0.21052631578947367,19-11h,diac,15
23_19-11h,2_19-12h,0.21052631578947367,19-11h,diac,17
1000_19-11h,1000_19-12h,0.4421052631578947,19-11h,diac,7
1_19-12h,11_19-13h,0.5,19-12h,diac,1
2_19-12h,3_19-13h,0.3684210526315789,19-12h,diac,17
6_19-12h,30_19-13h,0.3333333333333333,19-12h,diac,18
6_19-12h,31_19-13h,0.3333333333333333,19-12h,diac,18
7_19-12h,8_19-13h,0.3076923076923077,19-12h,diac,19
8_19-12h,4_19-13h,0.25,19-12h,diac,8
11_19-12h,27_19-13h,0.3333333333333333,19-12h,diac,16
1000_19-12h,1000_19-13h,0.38181818181818183,19-12h,diac,7
4_19-13h,3_19-14h,0.25,19-13h,diac,8
3_19-13h,16_19-14h,0.5384615384615384,19-13h,diac,17
5_19-13h,6_19-14h,1.0,19-13h,diac,20
8_19-13h,4_19-14h,0.4166666666666667,19-13h,diac,19
9_19-13h,2_19-14h,0.21428571428571427,19-13h,diac,21
11_19-13h,0_19-14h,0.75,19-13h,diac,1
21_19-13h,8_19-14h,0.3333333333333333,19-13h,diac,22
23_19-13h,15_19-14h,0.3333333333333333,19-13h,diac,23
26_19-13h,9_19-14h,1.0,19-13h,diac,24
1000_19-13h,1000_19-14h,0.4716981132075472,19-13h,diac,7
0_19-14h,14_19-15h,0.2727272727272727,19-14h,diac,1
2_19-14h,19_19-15h,0.2857142857142857,19-14h,diac,21
6_19-14h,3_19-15h,0.3333333333333333,19-14h,diac,20
16_19-14h,1_19-15h,0.42857142857142855,19-14h,diac,17
16_19-14h,5_19-15h,0.38461538461538464,19-14h,diac,17
1000_19-14h,1000_19-15h,0.3643410852713178,19-14h,diac,7
0_19-15h,12_19-16h,0.5,19-15h,diac,25
1_19-15h,3_19-16h,0.7,19-15h,diac,17
11_19-15h,13_19-16h,0.25,19-15h,diac,26
5_19-15h,1_19-16h,0.6,19-15h,diac,17
9_19-15h,6_19-16h,0.3333333333333333,19-15h,diac,27
1000_19-15h,1000_19-16h,0.7066666666666667,19-15h,diac,7
1000_19-16h,1000_19-17h,0.7388888888888889,19-16h,diac,7
1000_19-17h,1000_19-18h,1.0,19-17h,diac,7
1000_19-18h,1000_19-19h,1.0,19-18h,diac,7
1000_19-19h,1000_19-20h,1.0,19-19h,diac,7
1000_19-20h,1000_19-21h,1.0,19-20h,diac,7
1000_19-21h,1000_19-22h,1.0,19-21h,diac,7
1000_19-22h,1000_19-23h,1.0,19-22h,diac,7
1000_19-23h,1000_20-00h,1.0,19-23h,diac,7
1000_20-00h,1000_20-01h,1.0,20-00h,diac,7
1000_20-01h,1000_20-02h,1.0,20-01h,diac,7
1000_20-02h,1000_20-03h,1.0,20-02h,diac,7
1000_20-03h,1000_20-04h,1.0,20-03h,diac,7
1000_20-04h,1000_20-05h,0.9388888888888889,20-04h,diac,7
7_20-05h,2_20-06h,0.3076923076923077,20-05h,diac,28
1000_20-05h,1000_20-06h,0.6390532544378699,20-05h,diac,7
3_20-06h,2_20-07h,0.2222222222222222,20-06h,diac,29
1_20-06h,5_20-07h,0.4,20-06h,diac,30
4_20-06h,10_20-07h,0.4,20-06h,diac,31
6_20-06h,4_20-07h,0.2727272727272727,20-06h,diac,32
7_20-06h,3_20-07h,0.5454545454545454,20-06h,diac,33
8_20-06h,0_20-07h,1.0,20-06h,diac,34
10_20-06h,9_20-07h,1.0,20-06h,diac,35
1000_20-06h,1000_20-07h,0.7372262773722628,20-06h,diac,7
3_20-07h,0_20-08h,0.47619047619047616,20-07h,diac,33
2_20-07h,3_20-08h,0.2608695652173913,20-07h,diac,29
4_20-07h,2_20-08h,0.36363636363636365,20-07h,diac,32
9_20-07h,10_20-08h,1.0,20-07h,diac,35
1000_20-07h,1000_20-08h,0.3939393939393939,20-07h,diac,7
2_20-08h,13_20-09h,0.375,20-08h,diac,32
8_20-08h,6_20-09h,0.4,20-08h,diac,36
10_20-08h,18_20-09h,1.0,20-08h,diac,35
11_20-08h,2_20-09h,0.5714285714285714,20-08h,diac,37
12_20-08h,19_20-09h,0.25,20-08h,diac,37
1000_20-08h,1000_20-09h,0.3779527559055118,20-08h,diac,7
2_20-09h,2_20-10h,0.36363636363636365,20-09h,diac,37
3_20-09h,0_20-10h,0.3333333333333333,20-09h,diac,38
4_20-09h,12_20-10h,0.25,20-09h,diac,39
5_20-09h,10_20-10h,0.25,20-09h,diac,40
10_20-09h,11_20-10h,0.375,20-09h,diac,35
12_20-09h,2_20-10h,0.2222222222222222,20-09h,diac,37
16_20-09h,7_20-10h,0.25,20-09h,diac,41
17_20-09h,14_20-10h,0.5,20-09h,diac,42
18_20-09h,8_20-10h,0.2857142857142857,20-09h,diac,35
19_20-09h,2_20-10h,0.3333333333333333,20-09h,diac,37
1000_20-09h,1000_20-10h,0.5319148936170213,20-09h,diac,7
0_20-10h,27_20-11h,0.2222222222222222,20-10h,diac,38
2_20-10h,3_20-11h,0.23529411764705882,20-10h,diac,37
2_20-10h,8_20-11h,0.2222222222222222,20-10h,diac,37
4_20-10h,3_20-11h,0.42857142857142855,20-10h,diac,37
7_20-10h,18_20-11h,0.5,20-10h,diac,41
8_20-10h,9_20-11h,0.23076923076923078,20-10h,diac,35
8_20-10h,23_20-11h,0.375,20-10h,diac,35
9_20-10h,20_20-11h,0.25,20-10h,diac,43
11_20-10h,9_20-11h,0.4444444444444444,20-10h,diac,35
13_20-10h,26_20-11h,0.2857142857142857,20-10h,diac,44
1000_20-10h,1000_20-11h,0.5666666666666667,20-10h,diac,7
3_20-11h,0_20-12h,0.3888888888888889,20-11h,diac,37
9_20-11h,7_20-12h,0.23529411764705882,20-11h,diac,35
14_20-11h,1_20-12h,0.38095238095238093,20-11h,diac,45
14_20-11h,6_20-12h,0.2777777777777778,20-11h,diac,45
16_20-11h,12_20-12h,0.21739130434782608,20-11h,diac,46
18_20-11h,5_20-12h,1.0,20-11h,diac,41
23_20-11h,9_20-12h,0.5,20-11h,diac,35
27_20-11h,4_20-12h,0.3333333333333333,20-11h,diac,38
1000_20-11h,1000_20-12h,0.4594594594594595,20-11h,diac,7
0_20-12h,2_20-13h,0.26666666666666666,20-12h,diac,37
1_20-12h,0_20-13h,0.4,20-12h,diac,45
8_20-12h,1_20-13h,0.21052631578947367,20-12h,diac,47
12_20-12h,12_20-13h,0.2222222222222222,20-12h,diac,46
5_20-12h,7_20-13h,0.5,20-12h,diac,41
6_20-12h,20_20-13h,0.2222222222222222,20-12h,diac,45
7_20-12h,13_20-13h,0.3333333333333333,20-12h,diac,35
13_20-12h,11_20-13h,0.4,20-12h,diac,48
14_20-12h,2_20-13h,0.25,20-12h,diac,37
1000_20-12h,1000_20-13h,0.5196850393700787,20-12h,diac,7
0_20-13h,10_20-14h,0.375,20-13h,diac,45
1_20-13h,1_20-14h,0.2631578947368421,20-13h,diac,47
2_20-13h,6_20-14h,0.21739130434782608,20-13h,diac,37
13_20-13h,2_20-14h,0.3333333333333333,20-13h,diac,35
4_20-13h,5_20-14h,0.25,20-13h,diac,49
1000_20-13h,1000_20-14h,0.484375,20-13h,diac,7
0_20-14h,2_20-15h,0.3,20-14h,diac,45
0_20-14h,4_20-15h,0.2222222222222222,20-14h,diac,45
6_20-14h,0_20-15h,0.30434782608695654,20-14h,diac,37
10_20-14h,2_20-15h,0.3333333333333333,20-14h,diac,45
10_20-14h,4_20-15h,0.25,20-14h,diac,45
1000_20-14h,1000_20-15h,0.39869281045751637,20-14h,diac,7
4_20-15h,1_20-16h,0.3333333333333333,20-15h,diac,45
9_20-15h,3_20-16h,1.0,20-15h,diac,50
11_20-15h,0_20-16h,0.3333333333333333,20-15h,diac,51
1000_20-15h,1000_20-16h,0.6823529411764706,20-15h,diac,7
1_20-16h,1_20-17h,0.2222222222222222,20-16h,diac,45
1_20-16h,11_20-17h,0.2857142857142857,20-16h,diac,45
9_20-16h,8_20-17h,0.3333333333333333,20-16h,diac,52
1000_20-16h,1000_20-17h,0.7790697674418605,20-16h,diac,7
1000_20-17h,1000_20-18h,0.9333333333333333,20-17h,diac,7
1000_20-18h,1000_20-19h,1.0,20-18h,diac,7
1000_20-19h,1000_20-20h,1.0,20-19h,diac,7
1000_20-20h,1000_20-21h,1.0,20-20h,diac,7
1000_20-21h,1000_20-22h,1.0,20-21h,diac,7
1000_20-22h,1000_20-23h,1.0,20-22h,diac,7
1000_20-23h,1000_21-00h,1.0,20-23h,diac,7
1000_21-00h,1000_21-01h,1.0,21-00h,diac,7
1000_21-01h,1000_21-02h,1.0,21-01h,diac,7
1000_21-02h,1000_21-03h,1.0,21-02h,diac,7
1000_21-03h,1000_21-04h,1.0,21-03h,diac,7
1000_21-04h,1000_21-05h,0.9055555555555556,21-04h,diac,7
5_21-05h,1_21-06h,0.2222222222222222,21-05h,diac,53
5_21-05h,4_21-06h,0.25,21-05h,diac,53
1000_21-05h,1000_21-06h,0.6294117647058823,21-05h,diac,7
7_21-06h,2_21-07h,0.2727272727272727,21-06h,diac,54
6_21-06h,0_21-07h,0.4,21-06h,diac,55
9_21-06h,6_21-07h,0.3333333333333333,21-06h,diac,56
12_21-06h,4_21-07h,1.0,21-06h,diac,57
15_21-06h,8_21-07h,1.0,21-06h,diac,58
1000_21-06h,1000_21-07h,0.6646341463414634,21-06h,diac,7
1000_21-07h,1000_21-08h,0.5345911949685535,21-07h,diac,7
10_21-08h,8_21-09h,0.3333333333333333,21-08h,diac,59
1000_21-08h,1000_21-09h,0.5316455696202531,21-08h,diac,7
6_21-09h,26_21-10h,0.25,21-09h,diac,60
1000_21-09h,1000_21-10h,0.5723270440251572,21-09h,diac,7
4_21-10h,9_21-11h,0.3333333333333333,21-10h,diac,61
7_21-10h,0_21-11h,0.3157894736842105,21-10h,diac,62
14_21-10h,5_21-11h,0.25,21-10h,diac,63
23_21-10h,10_21-11h,0.21428571428571427,21-10h,diac,64
1000_21-10h,1000_21-11h,0.4609375,21-10h,diac,7
0_21-11h,0_21-12h,0.8,21-11h,diac,62
4_21-11h,1_21-12h,0.21739130434782608,21-11h,diac,63
5_21-11h,1_21-12h,0.2777777777777778,21-11h,diac,63
9_21-11h,3_21-12h,0.28,21-11h,diac,61
11_21-11h,3_21-12h,0.25,21-11h,diac,61
1000_21-11h,1000_21-12h,0.5714285714285714,21-11h,diac,7
0_21-12h,6_21-13h,0.3,21-12h,diac,62
5_21-12h,10_21-13h,0.5,21-12h,diac,65
1000_21-12h,1000_21-13h,0.6706586826347305,21-12h,diac,7
0_21-13h,6_21-14h,0.375,21-13h,diac,66
1000_21-13h,1000_21-14h,0.7784090909090909,21-13h,diac,7
3_21-14h,6_21-15h,0.5,21-14h,diac,67
12_21-14h,0_21-15h,1.0,21-14h,diac,68
1000_21-14h,1000_21-15h,0.8034682080924855,21-14h,diac,7
1_21-15h,4_21-16h,0.4,21-15h,diac,69
2_21-15h,5_21-16h,0.25,21-15h,diac,70
3_21-15h,2_21-16h,0.8,21-15h,diac,71
5_21-15h,6_21-16h,1.0,21-15h,diac,72
6_21-15h,0_21-16h,1.0,21-15h,diac,67
1000_21-15h,1000_21-16h,0.893491124260355,21-15h,diac,7
1000_21-16h,1000_21-17h,0.8722222222222222,21-16h,diac,7
1000_21-17h,1000_21-18h,1.0,21-17h,diac,7
1000_21-18h,1000_21-19h,1.0,21-18h,diac,7
1000_21-19h,1000_21-20h,1.0,21-19h,diac,7
1000_21-20h,1000_21-21h,1.0,21-20h,diac,7
1000_21-21h,1000_21-22h,1.0,21-21h,diac,7
1000_21-22h,1000_21-23h,1.0,21-22h,diac,7
1000_21-23h,1000_22-00h,1.0,21-23h,diac,7
1000_22-00h,1000_22-01h,1.0,22-00h,diac,7
1000_22-01h,1000_22-02h,1.0,22-01h,diac,7
1000_22-02h,1000_22-03h,1.0,22-02h,diac,7
1000_22-03h,1000_22-04h,1.0,22-03h,diac,7
1000_22-04h,1000_22-05h,0.9333333333333333,22-04h,diac,7
3_22-05h,5_22-06h,0.45454545454545453,22-05h,diac,73
2_22-05h,21_22-06h,0.6666666666666666,22-05h,diac,74
1000_22-05h,1000_22-06h,0.5976331360946746,22-05h,diac,7
23_22-06h,4_22-07h,0.2857142857142857,22-06h,diac,75
23_22-06h,18_22-07h,0.25,22-06h,diac,75
7_22-06h,11_22-07h,0.75,22-06h,diac,76
14_22-06h,5_22-07h,0.4,22-06h,diac,77
14_22-06h,20_22-07h,0.5,22-06h,diac,77
17_22-06h,3_22-07h,0.4444444444444444,22-06h,diac,78
21_22-06h,6_22-07h,0.4,22-06h,diac,74
24_22-06h,0_22-07h,1.0,22-06h,diac,79
1000_22-06h,1000_22-07h,0.65,22-06h,diac,7
6_22-07h,11_22-08h,0.2631578947368421,22-07h,diac,74
3_22-07h,6_22-08h,0.375,22-07h,diac,78
4_22-07h,14_22-08h,0.2857142857142857,22-07h,diac,75
9_22-07h,0_22-08h,0.3157894736842105,22-07h,diac,80
1000_22-07h,1000_22-08h,0.4351145038167939,22-07h,diac,7
20_22-08h,4_22-09h,0.23076923076923078,22-08h,diac,81
11_22-08h,2_22-09h,0.2631578947368421,22-08h,diac,74
14_22-08h,8_22-09h,0.2727272727272727,22-08h,diac,75
18_22-08h,18_22-09h,0.3333333333333333,22-08h,diac,82
1000_22-08h,1000_22-09h,0.4253731343283582,22-08h,diac,7
0_22-09h,1_22-10h,0.23076923076923078,22-09h,diac,74
2_22-09h,1_22-10h,0.38461538461538464,22-09h,diac,74
3_22-09h,8_22-10h,0.6666666666666666,22-09h,diac,83
5_22-09h,3_22-10h,0.25,22-09h,diac,84
10_22-09h,7_22-10h,1.0,22-09h,diac,85
14_22-09h,8_22-10h,0.25,22-09h,diac,83
18_22-09h,10_22-10h,0.5,22-09h,diac,82
1000_22-09h,1000_22-10h,0.6594202898550725,22-09h,diac,7
0_22-10h,12_22-11h,0.56,22-10h,diac,86
5_22-10h,25_22-11h,0.3125,22-10h,diac,87
3_22-10h,7_22-11h,0.21739130434782608,22-10h,diac,84
7_22-10h,31_22-11h,0.3333333333333333,22-10h,diac,85
9_22-10h,21_22-11h,0.75,22-10h,diac,88
10_22-10h,16_22-11h,0.3,22-10h,diac,82
1000_22-10h,1000_22-11h,0.543859649122807,22-10h,diac,7
12_22-11h,0_22-12h,0.375,22-11h,diac,86
4_22-11h,9_22-12h,0.5,22-11h,diac,89
6_22-11h,3_22-12h,0.5,22-11h,diac,90
17_22-11h,2_22-12h,0.21428571428571427,22-11h,diac,82
28_22-11h,19_22-12h,0.4,22-11h,diac,91
16_22-11h,20_22-12h,0.25,22-11h,diac,82
25_22-11h,4_22-12h,0.625,22-11h,diac,87
