source,target,weight,period_str,period_int,type,sync_component
1,4,25,2013-05,9,sync,-1
3,4,25,2013-05,9,sync,-1
6,4,20,2013-05,9,sync,-1
1,5,195,2013-05,9,sync,-1
9,5,116,2013-05,9,sync,-1
5,6,130,2013-05,9,sync,-1
3,6,36,2013-05,9,sync,-1
2,6,28,2013-05,9,sync,-1
5,7,180,2013-05,9,sync,-1
3,7,144,2013-05,9,sync,-1
11,7,86,2013-05,9,sync,-1
1,7,66,2013-05,9,sync,-1
2,7,48,2013-05,9,sync,-1
5,8,102,2013-05,9,sync,-1
11,8,28,2013-05,9,sync,-1
2,8,25,2013-05,9,sync,-1
1,8,22,2013-05,9,sync,-1
3,8,22,2013-05,9,sync,-1
5,10,29,2013-05,9,sync,-1
7,10,20,2013-05,9,sync,-1
11,10,17,2013-05,9,sync,-1
3,10,13,2013-05,9,sync,-1
2,10,9,2013-05,9,sync,-1
5,11,170,2013-05,9,sync,-1
3,11,103,2013-05,9,sync,-1
2,11,36,2013-05,9,sync,-1
11,1,48,2013-05,9,sync,-1
9,1,30,2013-05,9,sync,-1
10,1,14,2013-05,9,sync,-1
5,12,37,2013-05,9,sync,-1
11,12,14,2013-05,9,sync,-1
3,12,13,2013-05,9,sync,-1
7,12,10,2013-05,9,sync,-1
5,13,11,2013-05,9,sync,-1
3,13,4,2013-05,9,sync,-1
6,9,24,2013-05,9,sync,-1
5,15,13,2013-05,9,sync,-1
7,15,5,2013-05,9,sync,-1
6,1,327,2014-05,11,sync,-1
4,1,128,2014-05,11,sync,-1
2,1,112,2014-05,11,sync,-1
3,1,82,2014-05,11,sync,-1
5,2,224,2014-05,11,sync,-1
0,2,136,2014-05,11,sync,-1
4,2,129,2014-05,11,sync,-1
6,3,215,2014-05,11,sync,-1
4,3,120,2014-05,11,sync,-1
2,3,103,2014-05,11,sync,-1
0,3,73,2014-05,11,sync,-1
6,4,447,2014-05,11,sync,-1
0,4,97,2014-05,11,sync,-1
2,6,278,2014-05,11,sync,-1
5,6,146,2014-05,11,sync,-1
6,7,125,2014-05,11,sync,-1
4,7,51,2014-05,11,sync,-1
2,7,42,2014-05,11,sync,-1
9,7,35,2014-05,11,sync,-1
3,7,32,2014-05,11,sync,-1
0,7,29,2014-05,11,sync,-1
4,8,33,2014-05,11,sync,-1
9,8,18,2014-05,11,sync,-1
2,8,13,2014-05,11,sync,-1
1,8,13,2014-05,11,sync,-1
0,8,10,2014-05,11,sync,-1
7,8,6,2014-05,11,sync,-1
6,9,238,2014-05,11,sync,-1
4,9,128,2014-05,11,sync,-1
2,9,62,2014-05,11,sync,-1
3,9,56,2014-05,11,sync,-1
6,10,132,2014-05,11,sync,-1
2,10,34,2014-05,11,sync,-1
3,10,33,2014-05,11,sync,-1
6,0,228,2014-05,11,sync,-1
4,5,62,2014-05,11,sync,-1
9,5,44,2014-05,11,sync,-1
10,5,25,2014-05,11,sync,-1
6,11,75,2014-05,11,sync,-1
4,11,35,2014-05,11,sync,-1
2,11,31,2014-05,11,sync,-1
9,11,23,2014-05,11,sync,-1
1,11,22,2014-05,11,sync,-1
0,11,20,2014-05,11,sync,-1
0,14,3,2014-05,11,sync,-1
6,14,2,2014-05,11,sync,-1
0,15,2,2014-05,11,sync,-1
1,18,1,2014-05,11,sync,-1
6,18,1,2014-05,11,sync,-1
2,1,392,2015-05,13,sync,-1
7,1,203,2015-05,13,sync,-1
9,1,136,2015-05,13,sync,-1
0,2,359,2015-05,13,sync,-1
9,2,235,2015-05,13,sync,-1
11,2,177,2015-05,13,sync,-1
6,2,128,2015-05,13,sync,-1
2,10,70,2015-05,13,sync,-1
7,10,37,2015-05,13,sync,-1
0,10,18,2015-05,13,sync,-1
1,10,18,2015-05,13,sync,-1
9,10,8,2015-05,13,sync,-1
2,14,389,2015-05,13,sync,-1
7,14,152,2015-05,13,sync,-1
1,14,101,2015-05,13,sync,-1
0,14,83,2015-05,13,sync,-1
2,5,18,2015-05,13,sync,-1
7,5,11,2015-05,13,sync,-1
9,5,10,2015-05,13,sync,-1
11,5,8,2015-05,13,sync,-1
0,5,6,2015-05,13,sync,-1
18,5,4,2015-05,13,sync,-1
10,5,3,2015-05,13,sync,-1
7,6,59,2015-05,13,sync,-1
0,6,22,2015-05,13,sync,-1
2,7,594,2015-05,13,sync,-1
0,7,165,2015-05,13,sync,-1
2,8,183,2015-05,13,sync,-1
7,8,87,2015-05,13,sync,-1
1,8,62,2015-05,13,sync,-1
0,8,45,2015-05,13,sync,-1
14,8,37,2015-05,13,sync,-1
0,9,63,2015-05,13,sync,-1
6,9,11,2015-05,13,sync,-1
7,11,107,2015-05,13,sync,-1
1,11,85,2015-05,13,sync,-1
9,11,55,2015-05,13,sync,-1
0,11,51,2015-05,13,sync,-1
2,12,162,2015-05,13,sync,-1
7,12,59,2015-05,13,sync,-1
1,12,47,2015-05,13,sync,-1
0,12,42,2015-05,13,sync,-1
9,12,38,2015-05,13,sync,-1
1,13,7,2015-05,13,sync,-1
14,13,7,2015-05,13,sync,-1
0,13,5,2015-05,13,sync,-1
9,13,3,2015-05,13,sync,-1
6,13,2,2015-05,13,sync,-1
2,16,53,2015-05,13,sync,-1
7,16,26,2015-05,13,sync,-1
1,16,20,2015-05,13,sync,-1
14,16,16,2015-05,13,sync,-1
0,16,13,2015-05,13,sync,-1
2,18,82,2015-05,13,sync,-1
0,18,15,2015-05,13,sync,-1
6,18,11,2015-05,13,sync,-1
2,17,7,2015-05,13,sync,-1
7,17,5,2015-05,13,sync,-1
1,17,5,2015-05,13,sync,-1
0,17,5,2015-05,13,sync,-1
14,17,3,2015-05,13,sync,-1
2,1,564,2016-05,15,sync,-1
5,1,194,2016-05,15,sync,-1
13,2,69,2016-05,15,sync,-1
2,3,115,2016-05,15,sync,-1
1,3,92,2016-05,15,sync,-1
1,4,132,2016-05,15,sync,-1
11,4,94,2016-05,15,sync,-1
2,4,47,2016-05,15,sync,-1
8,4,30,2016-05,15,sync,-1
10,4,28,2016-05,15,sync,-1
2,5,174,2016-05,15,sync,-1
3,5,25,2016-05,15,sync,-1
1,6,67,2016-05,15,sync,-1
2,6,49,2016-05,15,sync,-1
11,6,42,2016-05,15,sync,-1
9,6,26,2016-05,15,sync,-1
5,6,17,2016-05,15,sync,-1
1,7,104,2016-05,15,sync,-1
11,7,49,2016-05,15,sync,-1
2,7,38,2016-05,15,sync,-1
9,7,22,2016-05,15,sync,-1
5,7,15,2016-05,15,sync,-1
1,8,187,2016-05,15,sync,-1
11,8,180,2016-05,15,sync,-1
2,8,79,2016-05,15,sync,-1
9,8,71,2016-05,15,sync,-1
5,8,37,2016-05,15,sync,-1
1,9,432,2016-05,15,sync,-1
2,9,222,2016-05,15,sync,-1
5,9,82,2016-05,15,sync,-1
1,10,238,2016-05,15,sync,-1
11,10,118,2016-05,15,sync,-1
2,10,117,2016-05,15,sync,-1
9,10,91,2016-05,15,sync,-1
5,10,46,2016-05,15,sync,-1
1,11,693,2016-05,15,sync,-1
2,11,322,2016-05,15,sync,-1
9,11,262,2016-05,15,sync,-1
1,12,64,2016-05,15,sync,-1
11,12,31,2016-05,15,sync,-1
2,12,18,2016-05,15,sync,-1
9,12,16,2016-05,15,sync,-1
10,12,12,2016-05,15,sync,-1
2,15,48,2016-05,15,sync,-1
11,15,47,2016-05,15,sync,-1
9,15,22,2016-05,15,sync,-1
10,15,14,2016-05,15,sync,-1
8,15,12,2016-05,15,sync,-1
2,16,22,2016-05,15,sync,-1
1,16,17,2016-05,15,sync,-1
11,16,14,2016-05,15,sync,-1
8,16,4,2016-05,15,sync,-1
11,17,13,2016-05,15,sync,-1
9,17,8,2016-05,15,sync,-1
15,13,7,2016-05,15,sync,-1
17,13,2,2016-05,15,sync,-1
4,1,257,2017-05,17,sync,-1
0,1,81,2017-05,17,sync,-1
1,2,720,2017-05,17,sync,-1
4,2,384,2017-05,17,sync,-1
2,3,308,2017-05,17,sync,-1
1,3,164,2017-05,17,sync,-1
4,3,105,2017-05,17,sync,-1
6,3,104,2017-05,17,sync,-1
0,3,98,2017-05,17,sync,-1
0,4,56,2017-05,17,sync,-1
21,4,18,2017-05,17,sync,-1
2,23,187,2017-05,17,sync,-1
1,23,137,2017-05,17,sync,-1
4,23,102,2017-05,17,sync,-1
3,23,58,2017-05,17,sync,-1
8,23,47,2017-05,17,sync,-1
0,23,33,2017-05,17,sync,-1
2,6,183,2017-05,17,sync,-1
1,6,101,2017-05,17,sync,-1
4,6,67,2017-05,17,sync,-1
8,6,31,2017-05,17,sync,-1
2,7,33,2017-05,17,sync,-1
1,7,20,2017-05,17,sync,-1
3,7,17,2017-05,17,sync,-1
4,7,15,2017-05,17,sync,-1
0,7,11,2017-05,17,sync,-1
2,8,181,2017-05,17,sync,-1
1,8,106,2017-05,17,sync,-1
4,8,53,2017-05,17,sync,-1
2,9,144,2017-05,17,sync,-1
1,9,80,2017-05,17,sync,-1
3,9,51,2017-05,17,sync,-1
4,9,50,2017-05,17,sync,-1
6,9,46,2017-05,17,sync,-1
0,9,23,2017-05,17,sync,-1
2,21,45,2017-05,17,sync,-1
3,21,25,2017-05,17,sync,-1
1,21,23,2017-05,17,sync,-1
1,11,39,2017-05,17,sync,-1
0,11,20,2017-05,17,sync,-1
4,11,19,2017-05,17,sync,-1
8,11,10,2017-05,17,sync,-1
4,12,4,2017-05,17,sync,-1
0,12,1,2017-05,17,sync,-1
8,12,1,2017-05,17,sync,-1
2,18,89,2017-05,17,sync,-1
1,18,55,2017-05,17,sync,-1
4,18,22,2017-05,17,sync,-1
6,18,13,2017-05,17,sync,-1
2,14,89,2017-05,17,sync,-1
1,14,39,2017-05,17,sync,-1
4,14,38,2017-05,17,sync,-1
6,14,17,2017-05,17,sync,-1
2,15,42,2017-05,17,sync,-1
1,15,27,2017-05,17,sync,-1
4,15,15,2017-05,17,sync,-1
3,15,11,2017-05,17,sync,-1
8,15,6,2017-05,17,sync,-1
2,20,17,2017-05,17,sync,-1
1,20,12,2017-05,17,sync,-1
4,20,5,2017-05,17,sync,-1
23,20,4,2017-05,17,sync,-1
2,17,49,2017-05,17,sync,-1
1,17,24,2017-05,17,sync,-1
4,17,9,2017-05,17,sync,-1
2,19,16,2017-05,17,sync,-1
3,19,7,2017-05,17,sync,-1
4,19,6,2017-05,17,sync,-1
11,19,4,2017-05,17,sync,-1
2,26,11,2017-05,17,sync,-1
19,0,4,2017-05,17,sync,-1
17,0,1,2017-05,17,sync,-1
3,29,1,2017-05,17,sync,-1
1,14,82,2018-05,19,sync,-1
3,14,31,2018-05,19,sync,-1
9,14,8,2018-05,19,sync,-1
1,3,753,2018-05,19,sync,-1
9,3,136,2018-05,19,sync,-1
1,4,84,2018-05,19,sync,-1
1,5,87,2018-05,19,sync,-1
3,5,54,2018-05,19,sync,-1
9,5,25,2018-05,19,sync,-1
1,6,133,2018-05,19,sync,-1
9,6,19,2018-05,19,sync,-1
1,7,68,2018-05,19,sync,-1
9,7,18,2018-05,19,sync,-1
11,8,38,2018-05,19,sync,-1
1,8,36,2018-05,19,sync,-1
3,8,34,2018-05,19,sync,-1
9,8,19,2018-05,19,sync,-1
1,9,153,2018-05,19,sync,-1
19,9,22,2018-05,19,sync,-1
1,10,38,2018-05,19,sync,-1
9,10,9,2018-05,19,sync,-1
1,11,220,2018-05,19,sync,-1
3,11,102,2018-05,19,sync,-1
9,11,56,2018-05,19,sync,-1
19,11,51,2018-05,19,sync,-1
18,11,47,2018-05,19,sync,-1
1,12,137,2018-05,19,sync,-1
3,12,90,2018-05,19,sync,-1
11,12,28,2018-05,19,sync,-1
1,18,36,2018-05,19,sync,-1
3,18,21,2018-05,19,sync,-1
9,18,9,2018-05,19,sync,-1
1,15,111,2018-05,19,sync,-1
9,15,14,2018-05,19,sync,-1
1,16,55,2018-05,19,sync,-1
3,16,27,2018-05,19,sync,-1
3,17,25,2018-05,19,sync,-1
9,17,16,2018-05,19,sync,-1
11,17,16,2018-05,19,sync,-1
6,17,10,2018-05,19,sync,-1
19,17,8,2018-05,19,sync,-1
15,17,6,2018-05,19,sync,-1
18,17,4,2018-05,19,sync,-1
17,1,65,2018-05,19,sync,-1
19,1,40,2018-05,19,sync,-1
3,19,22,2018-05,19,sync,-1
7,19,9,2018-05,19,sync,-1
18,19,5,2018-05,19,sync,-1
15,19,5,2018-05,19,sync,-1
1,20,6,2018-05,19,sync,-1
3,20,2,2018-05,19,sync,-1
11,21,24,2018-05,19,sync,-1
1,21,15,2018-05,19,sync,-1
17,21,3,2018-05,19,sync,-1
1,24,3,2018-05,19,sync,-1
3,24,1,2018-05,19,sync,-1
15,1,105,2019-05,21,sync,-1
0,1,68,2019-05,21,sync,-1
11,1,29,2019-05,21,sync,-1
1,22,199,2019-05,21,sync,-1
1,3,128,2019-05,21,sync,-1
0,3,42,2019-05,21,sync,-1
4,3,36,2019-05,21,sync,-1
1,4,147,2019-05,21,sync,-1
15,4,29,2019-05,21,sync,-1
1,6,120,2019-05,21,sync,-1
22,6,16,2019-05,21,sync,-1
1,7,54,2019-05,21,sync,-1
4,7,12,2019-05,21,sync,-1
1,24,35,2019-05,21,sync,-1
17,24,6,2019-05,21,sync,-1
1,12,8,2019-05,21,sync,-1
1,10,22,2019-05,21,sync,-1
0,10,3,2019-05,21,sync,-1
3,15,111,2019-05,21,sync,-1
17,15,30,2019-05,21,sync,-1
1,21,25,2019-05,21,sync,-1
17,21,3,2019-05,21,sync,-1
1,16,18,2019-05,21,sync,-1
22,16,4,2019-05,21,sync,-1
1,17,91,2019-05,21,sync,-1
3,17,46,2019-05,21,sync,-1
7,17,22,2019-05,21,sync,-1
1,25,44,2019-05,21,sync,-1
3,25,8,2019-05,21,sync,-1
1,19,72,2019-05,21,sync,-1
17,19,17,2019-05,21,sync,-1
1,26,9,2019-05,21,sync,-1
1,27,2,2019-05,21,sync,-1
6,11,2,2019-05,21,sync,-1
7,11,2,2019-05,21,sync,-1
0,11,2,2019-05,21,sync,-1
15,11,2,2019-05,21,sync,-1
10,11,1,2019-05,21,sync,-1
24,11,1,2019-05,21,sync,-1
15,0,15,2019-05,21,sync,-1
4,0,14,2019-05,21,sync,-1
25,0,2,2019-05,21,sync,-1
0,1,51,2020-05,23,sync,-1
4,1,14,2020-05,23,sync,-1
10,1,13,2020-05,23,sync,-1
2,0,34,2020-05,23,sync,-1
12,0,22,2020-05,23,sync,-1
26,0,13,2020-05,23,sync,-1
0,3,32,2020-05,23,sync,-1
10,3,9,2020-05,23,sync,-1
7,3,8,2020-05,23,sync,-1
4,3,7,2020-05,23,sync,-1
14,3,6,2020-05,23,sync,-1
0,5,46,2020-05,23,sync,-1
3,5,23,2020-05,23,sync,-1
6,5,21,2020-05,23,sync,-1
1,5,16,2020-05,23,sync,-1
0,6,31,2020-05,23,sync,-1
2,6,6,2020-05,23,sync,-1
0,7,48,2020-05,23,sync,-1
5,7,11,2020-05,23,sync,-1
4,7,10,2020-05,23,sync,-1
2,7,9,2020-05,23,sync,-1
0,8,69,2020-05,23,sync,-1
4,8,5,2020-05,23,sync,-1
5,10,21,2020-05,23,sync,-1
0,10,20,2020-05,23,sync,-1
5,11,7,2020-05,23,sync,-1
0,11,7,2020-05,23,sync,-1
5,9,18,2020-05,23,sync,-1
0,9,17,2020-05,23,sync,-1
2,9,5,2020-05,23,sync,-1
6,9,4,2020-05,23,sync,-1
5,12,9,2020-05,23,sync,-1
10,12,6,2020-05,23,sync,-1
2,12,3,2020-05,23,sync,-1
14,12,3,2020-05,23,sync,-1
7,12,2,2020-05,23,sync,-1
0,4,71,2020-05,23,sync,-1
5,4,24,2020-05,23,sync,-1
0,14,53,2020-05,23,sync,-1
5,14,26,2020-05,23,sync,-1
0,16,38,2020-05,23,sync,-1
4,16,9,2020-05,23,sync,-1
0,17,29,2020-05,23,sync,-1
10,17,7,2020-05,23,sync,-1
4,17,6,2020-05,23,sync,-1
10,2,5,2020-05,23,sync,-1
4,2,5,2020-05,23,sync,-1
1,2,3,2020-05,23,sync,-1
11,2,2,2020-05,23,sync,-1
5,25,10,2020-05,23,sync,-1
3,25,3,2020-05,23,sync,-1
1,25,2,2020-05,23,sync,-1
1,26,2,2020-05,23,sync,-1
2,26,1,2020-05,23,sync,-1
2,24,1,2020-05,23,sync,-1
0,1,9,2021-05,24,sync,-1
4,1,5,2021-05,24,sync,-1
5,1,2,2021-05,24,sync,-1
9,2,32,2021-05,24,sync,-1
0,2,12,2021-05,24,sync,-1
5,2,2,2021-05,24,sync,-1
0,3,1,2021-05,24,sync,-1
23,3,1,2021-05,24,sync,-1
17,3,1,2021-05,24,sync,-1
29,3,1,2021-05,24,sync,-1
0,4,23,2021-05,24,sync,-1
6,4,3,2021-05,24,sync,-1
0,6,8,2021-05,24,sync,-1
5,6,2,2021-05,24,sync,-1
20,6,2,2021-05,24,sync,-1
2,7,9,2021-05,24,sync,-1
4,7,6,2021-05,24,sync,-1
14,7,4,2021-05,24,sync,-1
5,7,3,2021-05,24,sync,-1
1,7,2,2021-05,24,sync,-1
0,18,6,2021-05,24,sync,-1
1,18,2,2021-05,24,sync,-1
20,18,2,2021-05,24,sync,-1
5,0,11,2021-05,24,sync,-1
7,0,4,2021-05,24,sync,-1
17,0,4,2021-05,24,sync,-1
29,0,2,2021-05,24,sync,-1
5,9,2,2021-05,24,sync,-1
28,9,2,2021-05,24,sync,-1
29,9,1,2021-05,24,sync,-1
20,9,1,2021-05,24,sync,-1
0,11,3,2021-05,24,sync,-1
14,11,1,2021-05,24,sync,-1
4,11,1,2021-05,24,sync,-1
0,12,2,2021-05,24,sync,-1
0,13,2,2021-05,24,sync,-1
7,13,1,2021-05,24,sync,-1
2,14,2,2021-05,24,sync,-1
0,14,1,2021-05,24,sync,-1
17,14,1,2021-05,24,sync,-1
1,14,1,2021-05,24,sync,-1
2,15,2,2021-05,24,sync,-1
14,15,1,2021-05,24,sync,-1
23,15,1,2021-05,24,sync,-1
17,15,1,2021-05,24,sync,-1
4,5,3,2021-05,24,sync,-1
17,5,1,2021-05,24,sync,-1
1,17,2,2021-05,24,sync,-1
0,20,7,2021-05,24,sync,-1
7,23,4,2021-05,24,sync,-1
5,28,1,2021-05,24,sync,-1
20,28,1,2021-05,24,sync,-1
3,28,1,2021-05,24,sync,-1
14,29,1,2021-05,24,sync,-1
1,2,0.24043715846994534,2010-05,5,diac,0
7,6,0.12138728323699421,2010-05,5,diac,1
1,5,0.10638297872340426,2011-05,7,diac,2
2,8,0.26885245901639343,2011-05,7,diac,0
6,1,0.28152492668621704,2011-05,7,diac,1
1,7,0.2982456140350877,2012-05,9,diac,1
3,5,0.10019646365422397,2012-05,9,diac,3
7,10,0.12037037037037036,2012-05,9,diac,4
8,11,0.3125,2012-05,9,diac,0
5,6,0.13256484149855907,2013-05,11,diac,3
7,2,0.2894736842105263,2013-05,11,diac,1
10,5,0.1951219512195122,2013-05,11,diac,4
11,0,0.3776824034334764,2013-05,11,diac,0
0,9,0.47288503253796094,2014-05,13,diac,0
2,1,0.35232558139534886,2014-05,13,diac,1
4,7,0.11304347826086956,2014-05,13,diac,5
5,11,0.32558139534883723,2014-05,13,diac,4
6,2,0.11757990867579908,2014-05,13,diac,3
8,13,0.16216216216216217,2014-05,13,diac,6
18,17,0.14814814814814814,2014-05,13,diac,7
1,2,0.271055179090029,2015-05,15,diac,1
2,1,0.15073115860517436,2015-05,15,diac,3
9,5,0.3299798792756539,2015-05,15,diac,0
11,3,0.35454545454545455,2015-05,15,diac,4
1,2,0.10020449897750511,2016-05,17,diac,3
2,3,0.2952286282306163,2016-05,17,diac,1
3,11,0.35443037974683544,2016-05,17,diac,4
5,6,0.3555992141453831,2016-05,17,diac,0
7,23,0.10975609756097561,2016-05,17,diac,8
11,2,0.10052910052910052,2016-05,17,diac,3
12,8,0.10795454545454546,2016-05,17,diac,9
0,7,0.11046511627906977,2017-05,19,diac,10
1,3,0.11403508771929824,2017-05,19,diac,3
2,1,0.14021421616358326,2017-05,19,diac,3
3,11,0.3715909090909091,2017-05,19,diac,1
23,12,0.16712328767123288,2017-05,19,diac,8
6,9,0.40933572710951527,2017-05,19,diac,0
11,19,0.376,2017-05,19,diac,4
17,4,0.1414141414141414,2017-05,19,diac,11
19,17,0.11940298507462686,2017-05,19,diac,12
1,1,0.19832109129066108,2018-05,21,diac,3
3,1,0.11202830188679246,2018-05,21,diac,3
9,17,0.3114119922630561,2018-05,21,diac,0
11,3,0.3276762402088773,2018-05,21,diac,1
19,0,0.3022222222222222,2018-05,21,diac,4
21,10,0.11214953271028037,2018-05,21,diac,13
0,9,0.3076923076923077,2019-05,23,diac,4
1,0,0.24181360201511334,2019-05,23,diac,3
3,5,0.35221238938053095,2019-05,23,diac,1
11,26,0.10606060606060606,2019-05,23,diac,14
17,2,0.3361581920903955,2019-05,23,diac,0
0,0,0.11717171717171718,2019-11,24,diac,3
2,3,0.12608695652173912,2019-11,24,diac,0
3,28,0.12173913043478261,2019-11,24,diac,15
5,2,0.17902813299232737,2019-11,24,diac,1
5,9,0.11924119241192412,2019-11,24,diac,1
8,6,0.14893617021276595,2019-11,24,diac,16
10,23,0.12244897959183673,2019-11,24,diac,17
14,5,0.11650485436893204,2019-11,24,diac,18
130,48,1.0,2019-11,24,diac,19
