id,phase,size,diac_component,meta,x,y
1000_19-09h,19-09h,102,7,mixed,23.65287,3.7268374
11_19-10h,19-10h,14,1,MP*1,7.597325,0.2716852
1_19-10h,19-10h,11,10,PSI*,-3.0820663,-8.405435
2_19-10h,19-10h,15,8,PC,-8.507165,8.594233
3_19-10h,19-10h,9,8,PC,-8.913749,8.564475
4_19-10h,19-10h,5,11,PC*,-5.262175,-5.5468907
5_19-10h,19-10h,11,12,PSI*,-3.641386,-7.767299
8_19-10h,19-10h,18,1,MP*1,9.314615,1.9492016
10_19-10h,19-10h,10,14,PC*,-4.9984426,-6.0204186
9_19-10h,19-10h,3,-1,PC*,-4.0467596,-5.573902
12_19-10h,19-10h,10,15,MP*2,3.8347275,0.229322
14_19-10h,19-10h,2,13,PC,-10.026915,8.913686
15_19-10h,19-10h,2,15,MP*2,3.8015065,-0.14243256
16_19-10h,19-10h,2,-1,PC*,-5.4282026,-4.382308
1000_19-10h,19-10h,68,7,mixed,23.796808,1.7786546
2_19-11h,19-11h,14,1,MP*1,7.6941867,0.4322105
1_19-11h,19-11h,14,1,MP*1,9.282871,1.9434522
3_19-11h,19-11h,5,15,MP*2,3.359622,-0.0286768
4_19-11h,19-11h,10,8,PC,-8.377582,8.7964525
5_19-11h,19-11h,7,-1,mixed,-3.1833258,-6.719319
7_19-11h,19-11h,11,-1,MP*2,4.2341037,0.45372176
12_19-11h,19-11h,8,12,PSI*,-4.0554824,-8.64123
15_19-11h,19-11h,8,10,PSI*,-2.8812027,-8.519718
16_19-11h,19-11h,2,-1,PSI*,-2.4008784,-6.9997783
17_19-11h,19-11h,2,16,mixed,-9.165537,7.843708
19_19-11h,19-11h,5,15,MP*2,3.9955082,-0.39218798
23_19-11h,19-11h,4,17,PC*,-4.9255147,-5.334879
22_19-11h,19-11h,2,13,mixed,-10.165849,9.065454
1000_19-11h,19-11h,88,7,mixed,23.706976,3.0459526
0_19-12h,19-12h,16,1,MP*1,9.365539,1.9168959
1_19-12h,19-12h,11,1,MP*1,7.696598,0.18024363
2_19-12h,19-12h,19,17,PC*,-5.0556192,-6.4612617
3_19-12h,19-12h,21,12,PSI*,-3.8809924,-7.837538
9_19-12h,19-12h,15,10,PSI*,-3.6444747,-7.98447
5_19-12h,19-12h,18,15,MP*2,4.116756,0.43759206
6_19-12h,19-12h,2,18,PC,-9.507514,7.8962207
7_19-12h,19-12h,10,19,PC,-9.544006,8.348341
8_19-12h,19-12h,15,8,PC,-8.578237,8.690729
10_19-12h,19-12h,2,-1,MP*1,7.1153073,0.672763
11_19-12h,19-12h,2,16,PC*,-4.8234625,-4.2170386
1000_19-12h,19-12h,49,7,mixed,23.797302,1.678819
0_19-13h,19-13h,3,-1,PSI*,-4.250382,-7.915551
4_19-13h,19-13h,5,8,PC,-8.907857,8.6262
2_19-13h,19-13h,2,-1,PSI*,-2.505637,-7.1288376
3_19-13h,19-13h,7,17,PC*,-5.3586426,-5.863207
5_19-13h,19-13h,2,20,PSI*,-2.9077272,-8.51595
6_19-13h,19-13h,2,-1,PC,-4.0377426,-3.6066465
8_19-13h,19-13h,7,19,PC,-9.379861,8.452671
9_19-13h,19-13h,3,21,MP*1,7.948225,1.1909177
10_19-13h,19-13h,2,-1,PSI*,-3.9717383,-6.218273
11_19-13h,19-13h,10,1,MP*1,7.5892615,0.12513897
13_19-13h,19-13h,3,-1,MP*2,3.277209,-0.19395839
14_19-13h,19-13h,2,-1,PC,-9.180191,8.168146
16_19-13h,19-13h,2,-1,PSI*,-4.158433,-9.743784
17_19-13h,19-13h,2,-1,PSI*,-2.5590801,-6.8698444
18_19-13h,19-13h,2,-1,MP*2,3.2278411,0.16840443
21_19-13h,19-13h,3,22,MP*1,9.190716,2.2158973
22_19-13h,19-13h,2,-1,MP*1,7.674217,1.1367824
23_19-13h,19-13h,2,23,PC*,-5.4644423,-4.3803854
24_19-13h,19-13h,2,-1,MP*1,7.4555845,1.6046913
25_19-13h,19-13h,2,-1,MP*1,7.205666,1.5572691
26_19-13h,19-13h,2,24,PC,-7.907739,9.105917
27_19-13h,19-13h,2,16,PC*,-4.937262,-4.275252
28_19-13h,19-13h,2,-1,PC,-9.338636,9.063747
29_19-13h,19-13h,2,-1,MP*2,2.9611018,0.26881498
30_19-13h,19-13h,2,18,PC,-9.683122,7.9148684
31_19-13h,19-13h,2,18,PC,-9.799775,7.790237
1000_19-13h,19-13h,103,7,mixed,23.638138,3.8501387
0_19-14h,19-14h,11,1,MP*1,7.6144433,0.16635084
1_19-14h,19-14h,21,-1,PSI*,-4.0095224,-7.8676114
2_19-14h,19-14h,14,21,MP*1,8.563834,1.572245
3_19-14h,19-14h,10,8,PC,-8.706424,8.677068
4_19-14h,19-14h,10,19,PC,-9.455252,8.771361
5_19-14h,19-14h,16,-1,MP*2,4.05302,0.45836148
6_19-14h,19-14h,2,20,PSI*,-2.8095424,-8.633199
8_19-14h,19-14h,9,22,MP*1,9.385306,2.0626333
9_19-14h,19-14h,2,24,PC,-8.011509,9.01924
10_19-14h,19-14h,5,-1,PC*,-4.75781,-5.6212564
11_19-14h,19-14h,4,-1,PC*,-4.1917515,-4.048951
12_19-14h,19-14h,3,-1,PC*,-4.147031,-5.452692
13_19-14h,19-14h,2,-1,MP*2,2.9703887,0.24562882
14_19-14h,19-14h,3,-1,PSI*,-3.042839,-8.439393
15_19-14h,19-14h,2,23,PC*,-5.7236505,-4.128873
16_19-14h,19-14h,13,17,PC*,-5.073739,-5.9598966
1000_19-14h,19-14h,53,7,mixed,23.810446,1.5562379
0_19-15h,19-15h,2,25,PSI*,-2.4188416,-7.115325
1_19-15h,19-15h,7,17,PC*,-4.8875465,-5.042588
2_19-15h,19-15h,3,-1,PC,3.2720983,-0.081579015
3_19-15h,19-15h,2,20,PSI*,-2.6321628,-7.8746724
11_19-15h,19-15h,8,26,PC,-8.239126,8.829969
5_19-15h,19-15h,5,17,PC*,-5.662763,-5.785266
6_19-15h,19-15h,2,-1,PSI*,-2.98389,-7.8139443
8_19-15h,19-15h,3,-1,PC*,-4.8774304,-4.8631186
9_19-15h,19-15h,2,27,PSI*,-4.2626605,-8.1692915
10_19-15h,19-15h,4,-1,MP*2,3.6469955,-0.31058145
12_19-15h,19-15h,2,-1,PSI*,-2.5341427,-6.8491635
13_19-15h,19-15h,2,-1,MP*1,6.873343,1.5871234
14_19-15h,19-15h,3,1,MP*1,7.505435,0.3505438
16_19-15h,19-15h,6,-1,MP*1,7.7624803,1.4489819
18_19-15h,19-15h,2,-1,PSI*,-4.351962,-10.044855
19_19-15h,19-15h,4,21,MP*1,7.7069473,1.4932511
1000_19-15h,19-15h,123,7,mixed,23.492506,5.2162786
12_19-16h,19-16h,4,25,PSI*,-2.2318416,-7.219095
1_19-16h,19-16h,3,17,PC*,-5.684813,-5.899705
3_19-16h,19-16h,10,17,PC*,-4.8986387,-5.531856
4_19-16h,19-16h,11,-1,PSI*,-3.46353,-7.731019
5_19-16h,19-16h,7,-1,mixed,-3.4768772,-5.5975814
6_19-16h,19-16h,2,27,PSI*,-4.3269424,-7.9535704
9_19-16h,19-16h,2,-1,PSI*,-2.8886774,-8.56967
10_19-16h,19-16h,2,-1,MP*2,3.0437863,0.27762792
13_19-16h,19-16h,2,26,PC,-8.16728,8.928059
15_19-16h,19-16h,4,-1,PC*,-4.783329,-5.5977864
1000_19-16h,19-16h,133,7,mixed,23.469923,5.410434
1000_19-17h,19-17h,180,7,mixed,15.64053,-11.894696
1000_19-18h,19-18h,180,7,mixed,15.765701,-11.921191
1000_19-19h,19-19h,180,7,mixed,15.594718,-12.270248
1000_19-20h,19-20h,180,7,mixed,15.7647085,-11.922137
1000_19-21h,19-21h,180,7,mixed,16.328476,-11.87124
1000_19-22h,19-22h,180,7,mixed,15.76647,-11.921104
1000_19-23h,19-23h,180,7,mixed,15.489983,-11.890907
1000_20-00h,20-00h,180,7,mixed,16.323307,-11.8452835
1000_20-01h,20-01h,180,7,mixed,15.76269,-12.030797
1000_20-02h,20-02h,180,7,mixed,15.632058,-11.720266
1000_20-03h,20-03h,180,7,mixed,15.628842,-11.910583
1000_20-04h,20-04h,180,7,mixed,15.76504,-11.92384
0_20-05h,20-05h,2,-1,MP*1,7.774849,2.2818809
7_20-05h,20-05h,4,28,PC,-9.867557,8.625537
8_20-05h,20-05h,3,-1,MP*1,6.869707,1.7830073
9_20-05h,20-05h,2,-1,mixed,-2.5082786,-6.761242
1000_20-05h,20-05h,169,7,mixed,23.05641,8.218622
3_20-06h,20-06h,16,29,MP*1,8.979428,1.7349215
1_20-06h,20-06h,5,30,PSI*,-4.405955,-8.333175
2_20-06h,20-06h,13,28,PC,-9.062604,8.703185
4_20-06h,20-06h,5,31,MP*1,7.4367514,1.6452034
5_20-06h,20-06h,11,-1,MP*1,8.325186,1.2672024
6_20-06h,20-06h,10,32,PSI*,-3.1825938,-8.213428
7_20-06h,20-06h,6,33,PC,-9.080656,8.442053
8_20-06h,20-06h,2,34,MP*2,3.2899623,-0.090810895
9_20-06h,20-06h,2,-1,MP*2,3.2030294,0.3472009
10_20-06h,20-06h,2,35,PC*,-5.2632604,-5.569562
1000_20-06h,20-06h,108,7,mixed,23.611893,4.1260777
0_20-07h,20-07h,2,34,MP*2,3.365068,-0.10122468
3_20-07h,20-07h,11,33,PC,-9.184618,8.522202
2_20-07h,20-07h,6,29,MP*1,9.324623,2.3208055
4_20-07h,20-07h,4,32,PSI*,-3.2621598,-8.42792
5_20-07h,20-07h,2,30,PSI*,-4.375338,-8.182578
6_20-07h,20-07h,4,-1,MP*1,7.137896,2.1386364
7_20-07h,20-07h,3,-1,MP*1,8.007185,1.0886203
8_20-07h,20-07h,4,-1,PSI*,-2.5279255,-6.872089
9_20-07h,20-07h,2,35,PC*,-5.1639304,-5.505274
10_20-07h,20-07h,2,31,MP*1,7.3705783,1.4598188
11_20-07h,20-07h,2,-1,PSI*,-3.9762394,-7.546218
12_20-07h,20-07h,2,-1,MP*1,7.0911202,0.881323
13_20-07h,20-07h,2,-1,PSI*,-2.827875,-8.588062
14_20-07h,20-07h,2,-1,MP*2,2.9592202,0.22490694
15_20-07h,20-07h,2,-1,MP*2,3.6967752,-0.28743246
1000_20-07h,20-07h,130,7,mixed,23.396011,6.0485635
0_20-08h,20-08h,20,33,PC,-8.843395,8.661989
3_20-08h,20-08h,23,29,MP*1,9.149333,2.0585306
2_20-08h,20-08h,11,32,PSI*,-3.2377238,-8.310238
4_20-08h,20-08h,17,-1,PSI*,-3.8974786,-8.102834
5_20-08h,20-08h,10,-1,mixed,7.655034,0.41801485
7_20-08h,20-08h,20,-1,PC*,-4.813291,-6.923945
8_20-08h,20-08h,2,36,PC*,-5.7443624,-4.0281215
9_20-08h,20-08h,14,-1,MP*2,4.145091,0.5288663
10_20-08h,20-08h,2,35,PC*,-5.235179,-5.57501
11_20-08h,20-08h,5,37,PC,-9.808352,9.195114
12_20-08h,20-08h,2,37,PC,-8.047864,9.011365
1000_20-08h,20-08h,54,7,mixed,23.79703,1.7469019
13_20-09h,20-09h,11,32,PSI*,-3.5839422,-8.485731
1_20-09h,20-09h,2,-1,MP*1,7.4935727,1.4932559
2_20-09h,20-09h,6,37,PC,-9.745181,9.085572
3_20-09h,20-09h,3,38,MP*1,9.092858,2.5007353
4_20-09h,20-09h,3,39,MP*1,7.4858494,1.6040467
5_20-09h,20-09h,3,40,MP*2,3.2966192,-0.0074810837
6_20-09h,20-09h,5,36,PC*,-5.781182,-4.264088
8_20-09h,20-09h,2,-1,MP*1,6.234865,1.9606559
10_20-09h,20-09h,7,35,PSI*,-4.3747287,-8.339865
12_20-09h,20-09h,2,37,PC,-10.437526,8.179617
14_20-09h,20-09h,2,-1,MP*1,7.27865,2.3437026
15_20-09h,20-09h,3,-1,MP*1,8.101149,1.0812287
16_20-09h,20-09h,2,41,PSI*,-3.8309736,-7.6702747
17_20-09h,20-09h,3,42,PSI*,-4.2237,-9.773362
18_20-09h,20-09h,2,35,PC*,-5.1982656,-5.5823865
19_20-09h,20-09h,3,37,PC,-8.544512,8.962601
1000_20-09h,20-09h,121,7,mixed,23.51016,5.081581
0_20-10h,20-10h,9,38,MP*1,9.1291,2.498057
1_20-10h,20-10h,13,-1,MP*2,4.0914917,0.48151606
2_20-10h,20-10h,9,37,PC,-9.563056,9.099192
3_20-10h,20-10h,14,-1,mixed,8.316987,1.6175901
4_20-10h,20-10h,8,37,PC,-9.475569,8.42039
6_20-10h,20-10h,2,-1,PSI*,-2.5975623,-6.828794
7_20-10h,20-10h,3,41,PSI*,-2.996687,-8.495859
8_20-10h,20-10h,7,35,PC*,-5.07096,-5.692396
9_20-10h,20-10h,2,43,PC*,-4.8272896,-4.2582254
10_20-10h,20-10h,2,40,MP*2,3.2628653,-0.11821875
11_20-10h,20-10h,4,35,PSI*,-4.4388127,-8.3232975
12_20-10h,20-10h,7,39,MP*1,7.8888917,1.4861271
13_20-10h,20-10h,2,44,PC,-10.057129,8.098423
14_20-10h,20-10h,3,42,PSI*,-4.3109727,-9.857856
1000_20-10h,20-10h,95,7,mixed,23.694057,3.2304916
11_20-11h,20-11h,6,-1,MP*1,7.1367764,1.6251179
26_20-11h,20-11h,7,44,PC,-9.557058,8.049889
3_20-11h,20-11h,12,37,PC,-9.300156,8.625901
9_20-11h,20-11h,9,35,PSI*,-4.300775,-8.183924
6_20-11h,20-11h,4,-1,PC,-9.886551,8.115977
8_20-11h,20-11h,2,37,PC,-10.202165,9.23093
14_20-11h,20-11h,14,45,MP*1,8.655762,1.965858
16_20-11h,20-11h,11,46,MP*2,4.1281013,0.45924756
13_20-11h,20-11h,2,-1,MP*2,2.8025894,0.3559275
18_20-11h,20-11h,3,41,PSI*,-3.0027664,-8.410563
19_20-11h,20-11h,4,-1,MP*1,7.3237634,1.8618584
20_20-11h,20-11h,3,43,PC*,-4.9293866,-4.1589823
21_20-11h,20-11h,2,-1,PC*,-4.8258867,-4.5300183
23_20-11h,20-11h,4,35,PC*,-4.7398744,-5.839208
27_20-11h,20-11h,2,38,MP*1,7.0560246,1.9764391
28_20-11h,20-11h,2,-1,PSI*,-3.8930826,-9.59726
1000_20-11h,20-11h,93,7,mixed,23.697115,3.1954505
0_20-12h,20-12h,13,37,PC,-9.537013,8.82402
1_20-12h,20-12h,15,45,MP*1,8.874376,2.5045862
8_20-12h,20-12h,17,47,PC,-9.027874,8.599906
12_20-12h,20-12h,17,46,MP*2,4.051854,0.7267097
4_20-12h,20-12h,6,38,MP*1,7.5980706,1.8649572
5_20-12h,20-12h,3,41,PSI*,-3.0393589,-8.617424
6_20-12h,20-12h,9,45,MP*2,3.948294,0.4179665
7_20-12h,20-12h,12,35,PSI*,-4.3886867,-8.553258
9_20-12h,20-12h,2,35,PC*,-4.6451693,-5.5825305
10_20-12h,20-12h,2,-1,PC*,-4.6216335,-4.354575
11_20-12h,20-12h,2,-1,PC*,-4.690246,-4.274795
13_20-12h,20-12h,5,48,PSI*,-4.3331594,-9.727398
14_20-12h,20-12h,4,37,mixed,-4.847461,-4.200211
15_20-12h,20-12h,2,-1,PC*,-5.842333,-4.056064
16_20-12h,20-12h,2,-1,MP*2,3.038052,0.23811725
1000_20-12h,20-12h,69,7,mixed,23.792356,1.8387132
0_20-13h,20-13h,6,45,MP*1,8.741663,2.4590924
1_20-13h,20-13h,6,47,PC,-9.631821,8.138001
2_20-13h,20-13h,6,37,PC,-9.886048,9.316824
13_20-13h,20-13h,4,35,PSI*,-4.658516,-8.527408
4_20-13h,20-13h,2,49,MP*2,3.048139,0.41301173
5_20-13h,20-13h,2,-1,PC,-9.99764,8.079
7_20-13h,20-13h,3,41,PSI*,-3.0388958,-8.433869
9_20-13h,20-13h,6,-1,PC,-9.710699,8.327708
10_20-13h,20-13h,2,-1,PSI*,-2.6158648,-6.8345723
11_20-13h,20-13h,2,48,PSI*,-4.319126,-9.792299
12_20-13h,20-13h,5,46,MP*2,3.118276,0.3892722
14_20-13h,20-13h,2,-1,PSI*,-3.8361902,-7.1455207
15_20-13h,20-13h,2,-1,PSI*,-4.502521,-10.103341
17_20-13h,20-13h,2,-1,PC,-9.95208,8.050474
18_20-13h,20-13h,2,-1,PSI*,-3.4292078,-6.673344
20_20-13h,20-13h,2,45,MP*2,3.182748,0.12045769
21_20-13h,20-13h,2,-1,MP*2,3.1460059,0.6509562
1000_20-13h,20-13h,124,7,mixed,23.485897,5.324785
0_20-14h,20-14h,6,45,MP*1,8.076926,2.2281706
1_20-14h,20-14h,18,47,PC,-5.1027703,-6.9870105
2_20-14h,20-14h,12,35,PSI*,-4.568413,-8.76925
6_20-14h,20-14h,22,37,PC,-9.121939,8.695883
4_20-14h,20-14h,15,-1,PSI*,-3.5176764,-8.200282
5_20-14h,20-14h,8,49,mixed,7.5443344,1.5326807
7_20-14h,20-14h,13,-1,MP*2,4.1019926,0.923585
8_20-14h,20-14h,13,-1,MP*2,3.993307,0.7836995
9_20-14h,20-14h,2,-1,PC*,-4.980752,-4.165341
10_20-14h,20-14h,5,45,MP*1,7.687108,2.2481015
1000_20-14h,20-14h,66,7,mixed,23.792326,1.8466572
0_20-15h,20-15h,8,37,PC,-9.550319,8.324107
2_20-15h,20-15h,7,45,MP*1,8.710679,2.4106228
4_20-15h,20-15h,5,45,MP*1,7.4843707,1.6414804
5_20-15h,20-15h,2,-1,PC*,-3.7779167,-2.9093583
8_20-15h,20-15h,4,-1,MP*1,7.8701754,1.2282759
9_20-15h,20-15h,2,50,PC*,-6.4173446,-5.983707
10_20-15h,20-15h,2,-1,PC*,-5.9688706,-3.974538
11_20-15h,20-15h,2,51,PC*,-5.2060204,-4.2404547
1000_20-15h,20-15h,148,7,mixed,23.251038,6.9744263
0_20-16h,20-16h,2,51,PC*,-5.012416,-5.4784527
1_20-16h,20-16h,7,45,MP*1,8.005049,2.127727
12_20-16h,20-16h,9,-1,MP*2,4.4806705,1.2659473
3_20-16h,20-16h,2,50,PC*,-6.3356266,-5.9693904
5_20-16h,20-16h,4,-1,MP*2,3.213337,2.1496365
6_20-16h,20-16h,2,-1,MP*2,3.5734293,-0.06362299
7_20-16h,20-16h,2,-1,PSI*,-3.7530997,-2.8302212
9_20-16h,20-16h,6,52,PSI*,-4.5220904,-9.899121
10_20-16h,20-16h,3,-1,PSI*,-2.5581064,-6.8156147
11_20-16h,20-16h,3,-1,MP*2,3.0387027,0.7466393
13_20-16h,20-16h,2,-1,mixed,-4.2236414,-7.9070687
1000_20-16h,20-16h,138,7,mixed,23.327188,6.4362516
1_20-17h,20-17h,4,45,MP*1,7.60462,1.6020128
5_20-17h,20-17h,2,-1,PC*,-4.9550166,-4.2094297
7_20-17h,20-17h,2,-1,MP*1,6.5614333,2.386374
8_20-17h,20-17h,2,52,PSI*,-4.518662,-10.046173
11_20-17h,20-17h,2,45,MP*1,7.5502486,1.8242325
1000_20-17h,20-17h,168,7,mixed,23.067617,8.152262
1000_20-18h,20-18h,180,7,mixed,15.506175,-11.973853
1000_20-19h,20-19h,180,7,mixed,16.068716,-11.297697
1000_20-20h,20-20h,180,7,mixed,15.634411,-11.966092
1000_20-21h,20-21h,180,7,mixed,16.432182,-11.67865
1000_20-22h,20-22h,180,7,mixed,16.022495,-12.018394
1000_20-23h,20-23h,180,7,mixed,15.490229,-11.972748
1000_21-00h,21-00h,180,7,mixed,15.76797,-11.668145
1000_21-01h,21-01h,180,7,mixed,15.802915,-12.052741
1000_21-02h,21-02h,180,7,mixed,15.484175,-11.923967
1000_21-03h,21-03h,180,7,mixed,15.934388,-12.263739
1000_21-04h,21-04h,180,7,mixed,15.063257,-11.837555
0_21-05h,21-05h,2,-1,MP*2,3.1327367,1.9858786
1_21-05h,21-05h,4,-1,PSI*,-4.410772,-8.217583
2_21-05h,21-05h,2,-1,PC,-10.691593,8.072949
5_21-05h,21-05h,4,53,PSI*,-4.613471,-10.124885
3_21-05h,21-05h,3,-1,PSI*,-3.5280588,-6.6012845
6_21-05h,21-05h,2,-1,PC*,-4.9739714,-4.1952777
1000_21-05h,21-05h,163,7,mixed,23.108803,7.890966
14_21-06h,21-06h,12,-1,PC*,-5.2808285,-6.8662424
1_21-06h,21-06h,7,53,PSI*,-5.4384522,-9.75924
2_21-06h,21-06h,8,-1,MP*2,3.6796494,0.4680467
7_21-06h,21-06h,10,54,MP*1,8.429377,2.047869
4_21-06h,21-06h,6,53,PSI*,-4.748535,-9.752834
5_21-06h,21-06h,2,-1,PC,-9.939317,8.100458
6_21-06h,21-06h,5,55,MP*1,7.3563557,1.7769654
8_21-06h,21-06h,3,-1,PSI*,-4.6887803,-8.603265
9_21-06h,21-06h,2,56,MP*1,7.3056407,2.5832036
10_21-06h,21-06h,3,-1,MP*2,3.155152,1.1485244
11_21-06h,21-06h,2,-1,MP*1,6.1256833,2.8196075
12_21-06h,21-06h,2,57,MP*1,6.885119,1.2125293
13_21-06h,21-06h,2,-1,MP*1,6.805397,1.8534422
15_21-06h,21-06h,2,58,MP*1,7.1437583,2.8521347
1000_21-06h,21-06h,114,7,mixed,23.54768,4.735972
0_21-07h,21-07h,2,55,MP*1,7.490712,1.6255307
2_21-07h,21-07h,4,54,MP*1,9.165193,2.8753185
3_21-07h,21-07h,2,-1,PC*,-6.632804,-5.962702
4_21-07h,21-07h,2,57,MP*1,6.977999,1.3512586
5_21-07h,21-07h,2,-1,MP*1,7.902046,1.127401
6_21-07h,21-07h,2,56,MP*1,7.1133676,2.5287397
7_21-07h,21-07h,3,-1,PC*,-5.766515,-4.0376534
8_21-07h,21-07h,2,58,MP*1,6.8676524,2.7759755
9_21-07h,21-07h,2,-1,PC,-11.728584,8.097599
1000_21-07h,21-07h,159,7,mixed,23.14574,7.652554
3_21-08h,21-08h,21,-1,MP*1,8.908863,3.199825
1_21-08h,21-08h,20,-1,MP*2,4.6215544,1.3318905
2_21-08h,21-08h,11,-1,MP*2,3.8980427,1.3267757
4_21-08h,21-08h,15,-1,PC*,-5.1883183,-7.016257
5_21-08h,21-08h,5,-1,PC*,-6.655114,-6.1307797
6_21-08h,21-08h,3,-1,PC,-4.2078223,-3.9752524
7_21-08h,21-08h,14,-1,PC,-9.761104,8.608595
8_21-08h,21-08h,2,-1,PC,-11.538128,7.9393144
9_21-08h,21-08h,2,-1,mixed,3.4276462,0.22046058
10_21-08h,21-08h,2,59,PSI*,-4.594404,-10.186715
1000_21-08h,21-08h,85,7,mixed,23.719276,2.9071112
0_21-09h,21-09h,2,-1,MP*1,7.0496144,2.6519356
1_21-09h,21-09h,4,-1,MP*1,7.398517,1.4377295
4_21-09h,21-09h,4,-1,MP*1,9.0931,2.9198906
5_21-09h,21-09h,2,-1,PC,-11.7968025,8.0250025
6_21-09h,21-09h,2,60,PC*,-5.826052,-3.9626598
7_21-09h,21-09h,3,-1,MP*1,8.157775,1.0482782
8_21-09h,21-09h,2,59,PSI*,-4.6482987,-9.984981
9_21-09h,21-09h,2,-1,MP*2,3.277685,2.1086164
10_21-09h,21-09h,2,-1,MP*1,6.9622545,2.8697655
1000_21-09h,21-09h,157,7,mixed,23.156355,7.584232
4_21-10h,21-10h,20,61,MP*1,8.803722,3.4408815
5_21-10h,21-10h,2,-1,MP*1,6.218596,2.9659984
7_21-10h,21-10h,17,62,PSI*,-5.084659,-9.109259
8_21-10h,21-10h,3,-1,PSI*,-3.766595,-8.441775
9_21-10h,21-10h,6,-1,PSI*,-5.272873,-10.087362
12_21-10h,21-10h,6,-1,PC*,-6.5575013,-6.219536
21_21-10h,21-10h,6,-1,MP*2,3.5698357,1.979631
14_21-10h,21-10h,13,63,MP*2,3.9262269,1.1865504
17_21-10h,21-10h,2,-1,PC,-12.272993,7.7934847
19_21-10h,21-10h,2,-1,PC,-8.6145735,8.91668
23_21-10h,21-10h,4,64,PC,-11.169515,8.275797
25_21-10h,21-10h,3,-1,PC,-10.374278,9.472856
26_21-10h,21-10h,3,60,PC*,-5.7441382,-4.054038
1000_21-10h,21-10h,93,7,mixed,23.686861,3.3082035
0_21-11h,21-11h,8,62,PSI*,-5.1269665,-9.122516
1_21-11h,21-11h,8,-1,PC*,-5.18022,-6.473233
2_21-11h,21-11h,2,-1,PC*,-5.88421,-4.050286
8_21-11h,21-11h,10,-1,PC*,-5.5293045,-7.100619
4_21-11h,21-11h,12,63,MP*2,3.9660301,1.2394415
5_21-11h,21-11h,7,63,MP*2,3.8520951,1.3961961
