id,y,period_str,period_int
2_2013-05,-6.731296,2013-05,9
17_2018-05,4.9291215,2018-05,19
1_2020-05,7.657869,2020-05,23
25_2017-05,-0.7266696,2017-05,17
3_2013-05,-6.4540005,2013-05,9
15_2010-05,-7.5357566,2010-05,3
21_2017-05,3.4041553,2017-05,17
15_2016-05,-1.4252709,2016-05,15
10_2016-05,0.6598521,2016-05,15
14_2017-05,3.5887873,2017-05,17
10_2019-05,7.0035458,2019-05,21
18_2017-05,2.8131268,2017-05,17
12_2015-05,-3.1546683,2015-05,13
7_2016-05,0.94310445,2016-05,15
4_2010-05,-7.747164,2010-05,3
21_2018-05,5.0622215,2018-05,19
15_2017-05,4.0393047,2017-05,17
1_2009-05,-5.9940834,2009-05,1
6_2013-05,-6.7673745,2013-05,9
8_2017-05,3.2091866,2017-05,17
25_2019-05,6.781106,2019-05,21
15_2018-05,5.08853,2018-05,19
10_2015-05,-2.3940775,2015-05,13
13_2015-05,-3.1976173,2015-05,13
25_2020-05,6.884124,2020-05,23
10_2014-05,-4.007885,2014-05,11
2_2021-05,4.997428,2021-05,24
2_2012-05,-7.942219,2012-05,7
13_2016-05,-0.47530568,2016-05,15
22_2010-05,-7.2861648,2010-05,3
4_2013-05,-7.120392,2013-05,9
7_2012-05,-5.163701,2012-05,7
5_2018-05,3.5757937,2018-05,19
7_2018-05,4.4175534,2018-05,19
17_2020-05,7.785105,2020-05,23
6_2016-05,0.46797457,2016-05,15
19_2017-05,3.8904727,2017-05,17
0_2021-05,7.6231623,2021-05,24
7_2017-05,3.9407914,2017-05,17
17_2016-05,-2.0664055,2016-05,15
7_2021-05,6.5097957,2021-05,24
11_2019-05,6.7864056,2019-05,21
16_2019-05,6.1231294,2019-05,21
7_2019-05,2.9944344,2019-05,21
5_2021-05,5.7358236,2021-05,24
16_2015-05,-2.5613277,2015-05,13
18_2015-05,-2.234286,2015-05,13
20_2017-05,4.3842063,2017-05,17
11_2021-05,7.5827646,2021-05,24
23_2021-05,7.501466,2021-05,24
12_2016-05,0.95687526,2016-05,15
9_2021-05,5.43076,2021-05,24
15_2013-05,-6.3645535,2013-05,9
10_2018-05,4.638142,2018-05,19
12_2013-05,-5.4866967,2013-05,9
10_2011-05,-6.423922,2011-05,5
6_2021-05,8.143735,2021-05,24
25_2010-05,-5.8811684,2010-05,3
14_2021-05,7.835793,2021-05,24
4_2021-05,7.589517,2021-05,24
16_2016-05,0.8691634,2016-05,15
17_2017-05,2.228943,2017-05,17
26_2020-05,7.7346444,2020-05,23
28_2021-05,7.0109363,2021-05,24
26_2019-05,6.7951984,2019-05,21
12_2017-05,3.1360571,2017-05,17
20_2018-05,4.5368366,2018-05,19
27_2018-05,4.811491,2018-05,19
1_2021-05,7.054107,2021-05,24
18_2021-05,6.570592,2021-05,24
3_2021-05,3.0256562,2021-05,24
34_2020-05,7.6291094,2020-05,23
17_2021-05,6.226041,2021-05,24
20_2021-05,7.498249,2021-05,24
15_2021-05,3.4822533,2021-05,24
27_2019-05,5.9692287,2019-05,21
29_2021-05,3.4750016,2021-05,24
109_2021-05,5.735422,2021-05,24
47_2021-05,7.068409,2021-05,24
26_2017-05,3.221474,2017-05,17
13_2021-05,5.2803783,2021-05,24
16_2011-05,-6.4511433,2011-05,5
42_2021-05,7.142712,2021-05,24
14_2014-05,-3.9847355,2014-05,11
13_2013-05,-5.585911,2013-05,9
29_2019-05,5.777379,2019-05,21
49_2021-05,5.85716,2021-05,24
29_2017-05,2.7096257,2017-05,17
28_2013-05,-4.9057236,2013-05,9
26_2021-05,6.7073665,2021-05,24
28_2012-05,-6.1795316,2012-05,7
18_2014-05,-4.2551465,2014-05,11
82_2018-05,3.693978,2018-05,19
12_2021-05,4.8461165,2021-05,24
24_2020-05,2.8858082,2020-05,23
43_2021-05,3.0261025,2021-05,24
24_2018-05,5.332291,2018-05,19
15_2014-05,-3.8476505,2014-05,11
95_2021-05,5.7928805,2021-05,24
22_2016-05,-0.7539896,2016-05,15
